상호명,지역(도),지역(시),지역(구),기본 메뉴 가격,베이커리 여부,상권
BOOSTN,서울,서울,중구,6700,O,상업단지
도너리비해피,서울,서울,강북구,7000,O,상업단지
행복한단백질,서울,서울,성동구,6200,O,상업단지
티쉑광교,경기,수원,영통구,7000,O,주거단지
허브로틴스타,경기,용인,수지구,6000,O,주거단지
아모하임,경기,화성,오산동,7200,O,주거단지
그레이스,경기,하남,망월동,6300,O,주거단지
25그램,서울,서울,중구,7200,O,상업단지
밀플렉스 광화문점,서울,서울,종로구,6700,O,상업단지
언니네도넛,경기,파주,야당동,5700,O,주거단지
꽁스카페,경기,수원,팔달구,5500,O,상업단지
휴그린 단백질카페,서울,서울,성북구,6800,O,상업단지
카페도넛,경기,고양,일산서구,6500,O,주거단지
단백질챙겨,서울,서울,성동구,6500,O,주거단지
단백질이버튼카페,서울,서울,중랑구,7200,O,상업단지
달단비v,경기,수원,장안구,6000,O,주거단지
단백질카페 헬씨테이블,서울,서울,성북구,6800,O,주거단지
오잉도넛 가좌점,경기,고양,일산서구,6000,O,주거단지
밀플렉스,서울,서울,성북구,7200,O,주거단지
카페 프로티어스,경기,양주,,6500,O,주거단지
아모하임,서울,서울,금천구,6500,O,주거단지
카페에너지,경기,시흥,,7000,O,주거단지
땡큐베리도넛,경기,고양,일산동구,5800,O,주거단지
오잉점핑힐링카페,인천,인천,서구,5500,O,주거단지
행복한에너지,경기,남양주,,6500,O,주거단지
아모하임월드,경기,안산,상록구,5500,O,주거단지
별다온카페,서울,서울,성북구,7500,O,주거단지
엠프레스,서울,서울,노원구,5800,O,주거단지
단백가득,경기,의정부,,7200,O,주거단지
스파앤도넛,경기,고양,일산서구,6000,O,상업단지
여기단백,서울,서울,도봉구,6500,O,주거단지
소이하루,경기,고양,덕양구,5700,O,주거단지
단백한순간,인천,인천,연수구,5800,O,주거단지
하루단백,인천,인천,서구,7200,O,주거단지
제로2도넛,경기,고양,일산서구,5900,O,주거단지
티쉐공간,인천,인천,서구,6900,O,주거단지
디센트커피,충남,아산,,5500,X,주거단지
필박스,경남,창원,의창구,7000,O,주거단지
아모하임 MinA,경남,진주,,6900,O,주거단지
피키요거트,충북,청주,,5500,X,주거단지
단백질충전소,경기,김포,,6800,X,주거단지
도넛굽는남자,경기,파주,,6300,O,주거단지
우리사이,경기,동두천,,6800,O,주거단지
핑크라벨,경북,포항,북구,6000,O,주거단지
헬로우빈,부산,부산,동구,5000,O,주거단지
아모하임 Busan,부산,부산,금정구,6800,O,상업단지
리오보,전북,군산,,6500,O,주거단지
하루단백,충북,음성,,6800,O,주거단지
온힐링카페,강원,화천,,6300,O,주거단지
굿카페,전북,전주,완산구,7500,O,주거단지
담백온,충북,충주,,6900,O,주거단지
아모하임 지앤원,광주,광주,광산구,6800,O,상업단지
허브로틴하우스,제주,제주,,6500,O,주거단지
더스팟뉴트리션,대전,대전,중구,6300,O,주거단지
피어클락,울산,울산,,7200,O,주거단지
외도찜질카페,제주,제주,,6000,O,주거단지
달콤단백,충북,음성,,6500,O,주거단지
단백,전남,여수,,6500,O,주거단지
단백해,충북,충주,,6500,O,주거단지
피노루나,부산,부산,금정구,7000,O,주거단지
담백 한스푼,강원,강릉,,6300,O,주거단지
허브로틴원,제주,제주,,5800,O,주거단지
하트너 부산연산점,부산,부산,연제구,6700,O,상업단지
온리,경남,창원,성산구,6300,O,주거단지
윤카페,경남,김해,,6500,X,주거단지
AMOHEIM G&E,광주,광주,광산구,6500,O,주거단지
Cafe.리치모아,경남,창원,성산구,7200,O,주거단지
카페허브,울산,울산,남구,7000,O,주거단지
카페 THE 특별한,부산,부산,동래구,5000,O,주거단지
단백이네,부산,부산,해운대구,5000,X,주거단지
